"","Date","Chhattisgarh","Gujarat","Jharkhand","Madhya Pradesh","Maharashtra","Odisha","West Bengal"
"1",20-03-09,0,0,0,0,2,0,0
"2",20-03-10,0,0,0,0,5,0,0
"3",20-03-11,0,0,0,0,2,0,0
"4",20-03-12,0,0,0,0,11,0,0
"5",20-03-13,0,0,0,0,14,0,0
"6",20-03-14,0,0,0,0,14,0,0
"7",20-03-15,0,0,0,0,32,0,0
"8",20-03-16,0,0,0,0,32,1,0
"9",20-03-17,0,0,0,0,39,1,0
"10",20-03-18,0,0,0,0,42,1,1
"11",20-03-19,1,0,0,0,47,1,1
"12",20-03-20,1,5,0,0,52,2,2
"13",20-03-21,1,7,0,4,63,2,3
"14",20-03-22,1,18,0,4,67,2,4
"15",20-03-23,1,29,0,6,74,2,7
"16",20-03-24,1,33,0,7,89,2,9
"17",20-03-25,1,38,0,14,128,2,9
"18",20-03-26,6,43,0,20,124,2,10
"19",20-03-27,6,43,0,20,130,2,10
"20",20-03-28,6,45,0,30,180,3,15
"21",20-03-29,7,58,0,30,186,3,18
"22",20-03-30,7,69,0,47,198,3,22
"23",20-03-31,8,73,0,47,216,3,26
"24",20-04-01,9,82,1,66,302,4,37
"25",20-04-02,9,87,1,99,335,4,53
"26",20-04-03,9,95,2,104,335,5,63
"27",20-04-04,9,105,2,104,490,5,69
"28",20-04-05,9,122,3,165,490,20,80
"29",20-04-06,10,144,4,165,748,21,80
"30",20-04-07,10,165,4,229,868,42,91
"31",20-04-08,10,165,4,229,1018,42,99
"32",20-04-09,10,179,13,259,1135,42,103
"33",20-04-10,10,241,13,259,1364,44,116
"34",20-04-11,18,308,17,443,1574,48,126
"35",20-04-12,25,432,17,564,1761,54,134
"36",20-04-13,31,539,19,604,1985,54,152
"37",20-04-14,31,617,24,730,2337,55,190
"38",20-04-15,33,695,27,987,2687,60,213
"39",20-04-16,33,871,28,1120,2919,60,231
"40",20-04-17,36,1021,29,1308,3205,60,255
"41",20-04-18,36,1272,33,1355,3323,60,287
"42",20-04-19,36,1604,35,1407,3651,61,310
"43",20-04-20,36,1851,42,1485,4203,68,339
"44",20-04-21,36,2066,46,1540,4669,74,392
"45",20-04-22,36,2272,45,1592,5221,82,423
"46",20-04-23,36,2407,49,1695,5652,83,456
"47",20-04-24,36,2624,55,1852,6430,90,514
"48",20-04-25,36,2815,59,1952,6817,94,571
"49",20-04-26,37,3071,67,2096,7628,103,611
"50",20-04-27,37,3301,82,2168,8068,108,649
"51",20-04-28,37,3548,103,2368,8590,118,697
"52",20-04-29,38,3774,105,2561,9318,119,725
"53",20-04-30,38,4082,107,2660,9915,128,758
"54",20-05-01,40,4395,111,2719,10498,143,795
"55",20-05-02,43,4721,111,2719,11506,149,795
"56",20-05-03,43,5055,115,2846,12296,160,922
"57",20-05-04,57,5428,115,2942,12974,163,963
"58",20-05-05,58,5804,115,3049,14541,170,1259
"59",20-05-06,59,6245,125,3049,15525,175,1344
"60",20-05-07,59,6625,127,3138,16758,185,1456
"61",20-05-08,59,7012,132,3252,17974,219,1548
"62",20-05-09,59,7402,132,3341,19063,271,1678
"63",20-05-10,59,7796,156,3614,20228,294,1786
"64",20-05-11,59,8194,157,3614,22171,377,1939
"65",20-05-12,59,8541,160,3785,23401,414,2063
"66",20-05-13,59,8903,172,3986,24427,437,2173
"67",20-05-14,59,9267,173,4173,25922,538,2290
"68",20-05-15,60,9591,197,4426,27524,611,2377
"69",20-05-16,66,9931,203,4595,29100,672,2461
"70",20-05-17,67,10988,217,4789,30706,737,2576
"71",20-05-18,86,11379,223,4977,33053,828,2677
"72",20-05-19,93,11745,223,5236,35058,876,2825
"73",20-05-20,101,12140,231,5465,37136,978,2961
"74",20-05-21,115,12537,231,5735,39297,1052,3103
"75",20-05-22,128,12905,290,5981,41642,1103,3197
"76",20-05-23,172,13268,308,6170,44582,1189,3332
"77",20-05-24,214,13664,350,6371,47190,1269,3459
"78",20-05-25,252,14056,370,6665,50231,1336,3667
"79",20-05-26,291,14460,377,6859,52667,1438,3816
"80",20-05-27,361,14821,426,7024,54758,1517,4009
"81",20-05-28,369,15195,448,7261,56948,1593,4192
"82",20-05-29,399,15562,469,7453,59546,1660,4536
"83",20-05-30,415,15934,511,7645,62228,1723,4813
"84",20-05-31,447,16343,563,7891,65168,1819,5130
"85",20-06-01,498,16779,610,8089,67655,1948,5501
"86",20-06-02,547,17200,659,8283,70013,2104,5772
"87",20-06-03,564,17617,712,8420,72300,2245,6168
"88",20-06-04,668,18100,752,8588,74860,2388,6508
"89",20-06-05,756,18584,793,8762,77793,2478,6876
"90",20-06-06,879,19094,881,8996,80229,2608,7303
"91",20-06-07,923,19592,1000,9228,82968,2781,7738
"92",20-06-08,1073,20070,1099,9401,85975,2856,8187
"93",20-06-09,1160,20545,1256,9638,88528,2994,8613
"94",20-06-10,1240,21014,1411,9849,90787,3140,8985
"95",20-06-11,1262,21521,1489,10049,94041,3250,9328
"96",20-06-12,1398,22032,1599,10241,97648,3386,9768
"97",20-06-13,1429,22527,1617,10443,101141,3498,10244
"98",20-06-14,1512,23038,1711,10641,104568,3723,10698
"99",20-06-15,1662,23544,1745,10802,107958,3909,11087
"100",20-06-16,1756,24055,1763,10935,110744,4055,11494
"101",20-06-17,1781,24577,1839,11083,113445,4163,11909
"102",20-06-18,1864,25093,1895,11244,116752,4338,12300
"103",20-06-19,1946,25601,1920,11426,120504,4512,12735
"104",20-06-20,2028,26141,1965,11582,124331,4677,13090
"105",20-06-21,2041,26680,1965,11724,128205,4856,13531
